Category,Reference Number,Reference Path,Sketch Path,Score
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/joshua/joshua_original_Gambar-W3 - Joshua.png_fd64d795-b8c3-48d8-8237-ae5d4635a405.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/joshua/joshua_original_Gambar-W3 - Joshua.png_c84e6c15-14f6-486e-a072-c84af49171ce.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/andrea/andrea_original_Gambar-W3 - Andrea.png_f66ba8e0-7b4e-4dc2-90a9-29ca0f903d0a.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref2\sketches/glent/glent_original_Gambar-W3 - Glent.png_5d7b771a-57bf-4b6d-877c-f36b5a707bea.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref2\sketches/glent/glent_original_Gambar-W3 - Glent.png_8aa0044a-c24e-4f53-a9d0-300cefd102a1.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/hermawanto/hermawanto_original_Gambar-W3 - Hermawanto.png_e327eaba-84d7-43da-8f89-345ed2a2824e.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/joshua/joshua_original_Gambar-W3 - Joshua.png_d0813061-b554-4b42-9cfc-0fb99f1584ae.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/joshua/joshua_original_Gambar-W3 - Joshua.png_6189947b-da28-4cd6-9107-2d8471e1a8b9.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/erza/erza_original_Gambar-W3 - Erza.png_1fb0ffa6-ee2e-431d-b2e3-1d5cec943ffc.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref1\sketches/joshua/Gambar-W3 - Joshua.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\buah\ref2\sketches/louis/louis_original_Gambar-W3 - Louis.png_9a0a2a4f-6f5c-4bd8-b3bf-18a31fccf67f.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\rubik\ref1\sketches/louis/louis_original_W4 - Louis.png_f5309767-fba8-4927-bdd5-520dc954fa0c.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\rubik\ref1\sketches/louis/louis_original_W4 - Louis.png_9ab994c4-ed90-4bba-bbfa-32ac06a545fa.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\rubik\ref1\sketches/glent/glent_original_W4 - Glent-Jonathan.png_70afd955-8f22-4fd0-83ee-9dab3c89c6fc.png,0.0
botol_coba,1,data/dataset\train\botol_coba\ref1\ref.png,data/dataset\train\rubik\ref1\sketches/glent/glent_original_W4 - Glent-Jonathan.png_99ab97fe-7f40-4661-b24a-00679d406475.png,0.0
